Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
DEPARTMENT OF FINANCE,"$5,634,136,947",105,,,,,,,,1990,"$1,870,712,229",1,,
CHICAGO DEPARTMENT OF AVIATION,"$5,403,162,387",380,,,,,,,,1992,$0,1,,
CHICAGO DEPARTMENT OF TRANSPORTATION,"$4,508,196,818",885,,,,,,,,1994,"$13,100,000",1,,
DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"$3,469,231,533",3030,,,,,,,,1997,$0,1,,
DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"$3,008,455,760",259,,,,,,,,2004,"$6,647,500",3,,
DEPARTMENT OF WATER MANAGEMENT,"$2,837,933,550",582,,,,,,,,2005,"$2,200,000",1,,
DEPT OF ASSETS INFORMATION AND SERVICES,"$2,176,998,163",239,,,,,,,,2006,"$22,500,000",2,,
DEPARTMENT OF PLANNING AND DEVELOPMENT,"$1,204,073,742",773,,,,,,,,2007,"$15,386,144",7,,
DEPARTMENT OF TECHNOLOGY AND INNOVATION,"$649,981,901",100,,,,,,,,2008,"$43,838,977",19,,
DEPARTMENT OF STREETS AND SANITATION,"$610,638,242",40,,,,,,,,2009,"$91,362,719",3,,
CHICAGO DEPARTMENT OF PUBLIC HEALTH,"$437,874,303",401,,,,,,,,2010,"$63,259,834",58,,
UNKNOWN,"$322,275,338",212,,,,,,,,2011,"$20,425,466",24,,
CHICAGO FIRE DEPARTMENT,"$182,050,636",93,,,,,,,,2012,"$348,705,985",57,,
DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,"$157,889,567",1791,,,,,,,,2013,"$245,868,342",79,,
OFFICE OF PUBLIC SAFETY ADMINISTRATION,"$149,869,897",34,,,,,,,,2014,"$262,241,051",131,,
CHICAGO POLICE DEPARTMENT,"$113,679,899",53,,,,,,,,2015,"$227,913,275",287,,
DEPT OF INNOVATION & TECHNOLOGY,"$105,374,433",29,,,,,,,,2016,"$266,965,920",280,,
DEPT OF FLEET MGMT,"$103,089,478",83,,,,,,,,2017,"$415,534,781",291,,
DEPARTMENT OF BUILDINGS,"$75,255,000",49,,,,,,,,2018,"$391,055,321",316,,
OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,"$74,371,922",48,,,,,,,,2019,"$4,195,358,543",697,,
OFFICE OF BUDGET & MANAGEMENT,"$61,860,697",208,,,,,,,,2020,"$286,197,488",158,,
DEPARTMENT OF REVENUE,"$57,156,147",11,,,,,,,,2021,"$905,528,068",268,,
