Row ID,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount,Procurement Type,Start Date Year,End Date Year,Contract_Duration_Days,Approval_Delay_Days,Is_Zero_Award,Is_Negative_Modification,Is_High_Value,Award_Category,Vendor_Key,Revision_Count_Per_Contract
0,MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT GROUPS 1-5: PROJECT GROUP 1 AND PROJECT GROUP 2,32256,6,114941,ARCH/ENGINEERING,9/8/2015,3/2/2027,02/10/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"CHRISTOPHER B. BURKE ENGINEERING, LIMITED",102636887E,9575 W HIGGINS RD,DES PLAINES,IL,60018,$0,MASTER AGREEMENT,2015,2027,4193,3808,1,0,0,Depends Upon Requirements,"CHRISTOPHER B. BURKE ENGINEERING, LIMITED|102636887E",5
1,CAR WASH SERVICES- CITY OF CHICAGO (GROUP A),124960,7,124604A,WORK SERVICES / FACILITIES MAINT.,3/17/2020,3/16/2027,02/10/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,LOOKING GOOD HAND CAR WASH,22728869P,3540 S HALSTED ST FL 1ST,CHICAGO,IL,60616,$0,BID,2020,2027,2555,2156,1,0,0,Depends Upon Requirements,LOOKING GOOD HAND CAR WASH|22728869P,5
2,"MAINTENANCE, PARTS AND REPAIR SERVICES FOR THE CAMBRIDGE AXLE SCALE",337037,0,1276708C,WORK SERVICES-SMALL ORDERS,2/4/2026,2/3/2029,02/10/2026,DEPARTMENT OF PROCUREMENT SERVICES,"ABEST SCALE CO., INC.",105518493X,PO BOX 3735,LISLE,IL,60532,"$22,300",BID,2026,2029,1095,6,0,0,0,Medium,"ABEST SCALE CO., INC.|105518493X",1
3,RING TUNNEL ELECTRICAL AND LIGHTING INFRASTRUCTURE AT O'HARE INTERNATIONAL AIRPORT,328515,0,1297124,CONSTRUCTION-AVIATION,2/6/2026,2/6/2026,02/06/2026,CHICAGO DEPARTMENT OF AVIATION,COURTESY ELECTRIC INC,94224524V,8770 W BRYN MAWR AVE,CHICAGO,IL,60631,"$6,740,001",BID,2026,2026,0,0,0,0,1,Large,COURTESY ELECTRIC INC|94224524V,1
4,"CDPH-FMLYCNNCTS:
PO 336612 METROPOLITAN FAMILY SERVICES",336612,0,1333707,DELEGATE AGENCY,1/1/2026,12/31/2026,02/06/2026,CHICAGO DEPARTMENT OF PUBLIC HEALTH,METROPOLITAN FAMILY SERVICES,105513897T,101 N WACKER DR FL 17TH,CHICAGO,IL,60606,"$175,000",RFP,2026,2026,364,36,0,0,1,Large,METROPOLITAN FAMILY SERVICES|105513897T,1
5,"NON-TARGET MARKET AGREEMENT FOR COURT REPORTING AND TRANSCRIPTION SERVICES, AREA 1: DEPT OF ADMINISTRATIVE HEARINGS",30294,13,118345,"PRO SERV CONSULTING $250,000ORABOVE",1/26/2015,10/27/2026,02/06/2026,DEPARTMENT OF LAW,CARLIN TRANSCRIPTION SERVICES,94282513M,3656 W FULLERTON EFT,CHICAGO,IL,60647,$0,RFQ,2015,2026,4292,4029,1,0,0,Depends Upon Requirements,CARLIN TRANSCRIPTION SERVICES|94282513M,6
6,TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 3: PREPARE FOR AND MANAGE DEVELOPMENT PROJECTS AND CATEGORY 7: SUPPORT TAX INCREMENT FINANCING (TIF) DISTRICTS REDUCTION,37727,6,131664,"PRO SERV CONSULTING $250,000ORABOVE",1/30/2017,12/31/2027,02/06/2026,DEPARTMENT OF PLANNING AND DEVELOPMENT,"ERNEST R. SAWYER ENTERPRISES., INC",44411008P,100 N LA SALLE ST # 1515,CHICAGO,IL,60602,$0,MASTER AGREEMENT,2017,2027,3987,3294,1,0,0,Depends Upon Requirements,"ERNEST R. SAWYER ENTERPRISES., INC|44411008P",4
7,"VARIOUS SIZE RIDING FLOOR SWEEPERS/SCRUBBERS GROUPS A, B, C, D AND E (FORMERLY PO 66932)",324791,1,192143,VEHICLES/HEAVY EQUIPMENT (CAPITAL),4/1/2025,8/8/2026,02/06/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,FEDERAL SIGNAL CORPORATION,31301137X,FEDERAL SIGNAL-EMERG PROD,CHICAGO,IL,60693,$0,CONTRACT ASSIGNMENT/TRANS,2025,2026,494,311,1,0,0,Depends Upon Requirements,FEDERAL SIGNAL CORPORATION|31301137X,2
8,TRANSFER FROM PO 82901-WORKFORCE MANAGEMENT SYSTEM FOR CITY OF CHICAGO- REFERENCE CONTRACT FROM U.S. COMMUNITIES HARFORD COUNTY PUBLIC SCHOOLS CONTRACT #14-JLR-003,295428,3,818821,"PRO SERV CONSULTING $250,000ORABOVE",12/30/2024,3/31/2030,02/06/2026,CHICAGO FIRE DEPARTMENT,KRONOS INC,105476041H,297 BILLERICA RD,CHELMSFORD,MA,UNKNOWN ZIP,"$906,176",CONTRACT ASSIGNMENT/TRANS,2024,2030,1917,403,0,0,1,Large,KRONOS INC|105476041H,4
9,"PARTS AND REPAIR SERVICES - MECHANICAL, MAINTENANCE, ELECTRICAL, AND BODY REPAIRS FOR CITY-OWNED AUTOMOBILES AND TRUCKS GROUPS L2 AND L2",20341,15,66458A,VEHICLES/HEAVY EQUIPMENT (CAPITAL),2/5/2010,8/2/2026,02/06/2026,DEPT OF FLEET MGMT,FIRE SERVICE INC,31299019L,9545 INDUSTRIAL DR NORTH,SAINT JOHN,IN,46373,"$500,000",BID,2010,2026,6022,5845,0,0,1,Large,FIRE SERVICE INC|31299019L,4
