,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
0,MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT GROUPS 1-5: PROJECT GROUP 1 AND PROJECT GROUP 2,32256,6,114941,ARCH/ENGINEERING,09/08/2015,03/02/2027,02/10/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"CHRISTOPHER B. BURKE ENGINEERING, LIMITED",102636887E,9575 W HIGGINS RD,,DES PLAINES,IL,60018,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80DC439C-0000-C21D-9950-8AE59FDA85F6}
1,CAR WASH SERVICES- CITY OF CHICAGO (GROUP A),124960,7,124604A,WORK SERVICES / FACILITIES MAINT.,03/17/2020,03/16/2027,02/10/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,LOOKING GOOD HAND CAR WASH,22728869P,3540 S HALSTED ST FL 1ST,,CHICAGO,IL,60616,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50D94D9C-0000-CD1C-8429-15FB086A8966}
2,"Maintenance, Parts and Repair Services for The Cambridge Axle Scale",337037,0,1276708C,WORK SERVICES-SMALL ORDERS,02/04/2026,02/03/2029,02/10/2026,DEPARTMENT OF PROCUREMENT SERVICES,"ABEST SCALE CO., INC.",105518493X,PO BOX 3735,,LISLE,IL,60532,"$22,300.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40D84D9C-0000-C21B-B1B5-53A0ECD0BA44}
3,Ring Tunnel Electrical And Lighting Infrastructure at O'Hare International Airport,328515,0,1297124,CONSTRUCTION-AVIATION,,,02/06/2026,CHICAGO DEPARTMENT OF AVIATION,COURTESY ELECTRIC INC,94224524V,8770 W BRYN MAWR AVE,,CHICAGO,IL,60631,"$6,740,001.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8008439C-0000-C216-AE4C-8E3C98D127E6}
4,"CDPH-FMLYCNNCTS:
PO 336612 METROPOLITAN FAMILY SERVICES",336612,0,1333707,DELEGATE AGENCY,01/01/2026,12/31/2026,02/06/2026,CHICAGO DEPARTMENT OF PUBLIC HEALTH,METROPOLITAN FAMILY SERVICES,105513897T,101 N WACKER DR FL 17TH,,CHICAGO,IL,60606,"$175,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20414D9C-0000-C41F-8FAE-03498E169B0E}
5,"NON-TARGET MARKET AGREEMENT FOR COURT REPORTING AND TRANSCRIPTION SERVICES, AREA 1: DEPT OF ADMINISTRATIVE HEARINGS",30294,13,118345,"PRO SERV CONSULTING $250,000orABOVE",01/26/2015,10/27/2026,02/06/2026,DEPARTMENT OF LAW,CARLIN TRANSCRIPTION SERVICES,94282513M,3656 W FULLERTON EFT,,CHICAGO,IL,60647,$0.00,RFQ,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9007439C-0000-C216-9373-BFBB1173D532}
6,TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 3: PREPARE FOR AND MANAGE DEVELOPMENT PROJECTS AND CATEGORY 7: SUPPORT TAX INCREMENT FINANCING (TIF) DISTRICTS REDUCTION,37727,6,131664,"PRO SERV CONSULTING $250,000orABOVE",01/30/2017,12/31/2027,02/06/2026,DEPARTMENT OF PLANNING AND DEVELOPMENT,"ERNEST R. SAWYER ENTERPRISES., INC",44411008P,100 N LA SALLE ST # 1515,,CHICAGO,IL,60602,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4009439C-0000-C515-92A6-B9EC5BECB2C1}
7,"VARIOUS SIZE RIDING FLOOR SWEEPERS/SCRUBBERS GROUPS A, B, C, D and E (Formerly PO 66932)",324791,1,192143,VEHICLES/HEAVY EQUIPMENT (CAPITAL),04/01/2025,08/08/2026,02/06/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,FEDERAL SIGNAL CORPORATION,31301137X,FEDERAL SIGNAL-EMERG PROD,96631 COLLECTION CENTER DR,CHICAGO,IL,60693,$0.00,CONTRACT ASSIGNMENT/TRANS,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A006439C-0000-CA18-8A66-B91FD9C56224}
8,TRANSFER FROM PO 82901-WORKFORCE MANAGEMENT SYSTEM FOR CITY OF CHICAGO- REFERENCE CONTRACT FROM U.S. COMMUNITIES HARFORD COUNTY PUBLIC SCHOOLS CONTRACT #14-JLR-003,295428,3,818821,"PRO SERV CONSULTING $250,000orABOVE",12/30/2024,03/31/2030,02/06/2026,CHICAGO FIRE DEPARTMENT,KRONOS INC,105476041H,297 BILLERICA RD,,CHELMSFORD,MA,,"$906,176.40",CONTRACT ASSIGNMENT/TRANS,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B030439C-0000-C11E-8F74-5A7C7DEDDF92}
9,"PARTS AND REPAIR SERVICES - MECHANICAL, MAINTENANCE, ELECTRICAL, AND BODY REPAIRS FOR CITY-OWNED AUTOMOBILES AND TRUCKS GROUPS L2 AND L2",20341,15,66458A,VEHICLES/HEAVY EQUIPMENT (CAPITAL),02/05/2010,08/02/2026,02/06/2026,DEPT OF FLEET MGMT,FIRE SERVICE INC,31299019L,9545 INDUSTRIAL DR NORTH,,SAINT JOHN,IN,46373,"$500,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D04D489C-0000-CA1B-AF3F-35B7598027FD}
